"image","cafeName","cafeAddress","rating","PRICE_RANGE","CUISINES","Special_Diets","Meals","FEATURES"
"https://media-cdn.tripadvisor.com/media/photo-s/28/fd/d6/76/braza-brazilian-grill.jpg","Braza Brazilian Grill & BBQ - CLOSED","Jl. Kenari No.7, Depok 16455 Indonesia","","","Brazilian, South American","","Dinner","Wheelchair Accessible"
"https://media-cdn.tripadvisor.com/media/photo-s/1a/cd/9e/8f/photo0jpg","La Brulerie Coffee & Spices","Jl. Kranji No.9 Randuguang, Sariharjo, Ngaglik 55581 Indonesia","5.0 ","","Cafe","","",""
"","Colosseum Cafe & Grill - CLOSED","Jl. Damai Gg. Watugede No. 9, Sleman 55585 Indonesia","","","Mexican, Japanese, American, Grill, Middle Eastern","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/0c/8d/0b/ea/the-best-food.jpg","New Pronto Steak and Pasta","Jl. Kranji no. 75, Sleman Indonesia","4.0 ","","Italian, European, Grill","","","Reservations"
"","OpaOmes Coffee","Jl. Mawar No.9 Krodan, Maguwoharjo, Depok 55282 Indonesia","","$1 - $2","Asian, Indonesian","","",""
"https://media-cdn.tripadvisor.com/media/daodao/photo-s/12/24/9a/f2/photo8jpg","Androwino Bistro","Jl. Laksda Adisucipto KM. 8,7, Depok 55282 Indonesia","4.5 ","","Asian, International, Indonesian","Vegetarian Friendly, Halal, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Late Night","Reservations, Outdoor Seating, Seating, Parking Available, Serves Alcohol, Free Wifi, Table Service, Takeout, Validated Parking, Wheelchair Accessible"
"https://media-cdn.tripadvisor.com/media/photo-s/12/d6/da/ea/g-joss-seafood-super.jpg","G'Joss Seafood Super","Jl. Persatuan No 84 Condongcatur, Depok 55283 Indonesia","4.5 ","","Asian, Indonesian","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/0e/2a/0c/22/el-klasiko-coffee.jpg","El Klasiko Coffee - CLOSED","Jl. Palagan Tentara Pelajar Km. 7 The Alana Yogyakarta Hotel & Convention Center Area, Sariharjo 55581 Indonesia","3.5 ","","Fusion","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/05/00/80/2c/family-dinner.jpg","Ganesha Ek Sanskriti Yogyakarta","Km 8 Jl. Laksda Adisucipto 7 Sheraton Mustika Yogyakarta Resort & Spa, 8th Floor, Depok 55282 Indonesia","4.5 ","$9 - $13","Indian, Asian","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Lunch, Dinner, Drinks","Delivery, Takeout, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Street Parking, Cash Only, Table Service, Accepts Credit Cards"
"https://media-cdn.tripadvisor.com/media/photo-s/25/a5/15/e2/kancane-coffe-and-tea.jpg","Kancane Coffe And Tea Bar","Watugede 65, Sleman 55581 Indonesia","","","Cafe, European, Asian, Indonesian","","Breakfast, Lunch, Dinner",""
"https://media-cdn.tripadvisor.com/media/photo-s/0b/68/f5/0f/luk-coffee-book.jpg","LUK Coffee & Book","Jl. Cendrawasih Pringwulung No. 358B, Maguwoharjo, Depok 55281 Indonesia","4.5 ","$1 - $3","Italian, Pizza, Asian, Indonesian","","Late Night, Drinks, Lunch, Dinner","Takeout, Reservations, Seating, Parking Available, Television, Highchairs Available, Cash Only, Free Wifi"
"","Waroeng Gili Seafood & Grill","Jl. Candi Gebang No 17 Condong Catur, Depok 55283 Indonesia","","","Asian, Indonesian","","Dinner",""
"https://media-cdn.tripadvisor.com/media/photo-s/14/ee/5a/65/20180928-215129-largejpg","Kintan Buffet","Jl. Laksda Adisucipto Plaza Ambarukmo Level 3 unit #A.12 - 13, Depok 55281 Indonesia","4.5 ","","Japanese, Grill","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/17/db/a0/ac/screenshot-20190609-205415.jpg","Marugame Udon & Tempura","Jl. Laksda Adisucipto Plaza Ambarrukmo, Level 3, Depok 55281 Indonesia","5.0 ","","Japanese","","",""
"","Cafe du Chocolate","Jl. Sisingamangaraja 31, Semarang Indonesia","4.0 ","","Cafe","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/0f/38/fd/d2/the-table.jpg","Sekar Kedhaton","Jl. Raya Borobudur km. 2,5 Mungkid, Magelang 56115 Indonesia","4.0 ","","Asian, Indonesian","Vegetarian Friendly, Halal","Lunch, Breakfast, Dinner","Takeout, Reservations, Seating, Outdoor Seating, Table Service"
"https://media-cdn.tripadvisor.com/media/photo-s/1c/a2/35/cc/photo0jpg","Dali Gelato","Jl. Garuda Mas Mendungan, Karangasem, Kartasura, Sukoharjo 57169 Indonesia","5.0 ","$10 - $120","Cafe, Mediterranean, Contemporary","","Breakfast, Lunch, Dinner","Delivery, Reservations, Outdoor Seating, Private Dining, Seating, Digital Payments, Free Wifi, Non-smoking restaurants"
"https://media-cdn.tripadvisor.com/media/photo-s/1a/ee/f7/7a/photo6jpg","Saffron Resto","Jl. Ronggowarsito No.38, Solo 57131 Indonesia","4.0 ","$5 - $10","European, Southwestern, International","","Lunch, Dinner, Brunch, Late Night","Takeout, Reservations, Seating, Serves Alcohol, Table Service"
"https://media-cdn.tripadvisor.com/media/photo-s/0e/6e/a3/0b/photo4jpg","Kafeole","Jl. Tentara Pelajar no. 61, Salatiga Indonesia","3.5 ","","Cafe, Asian, Indonesian","Vegetarian Friendly","Lunch, Dinner","Reservations, Outdoor Seating, Seating, Serves Alcohol, Table Service, Takeout, Live Music"
"https://media-cdn.tripadvisor.com/media/photo-s/06/0c/c3/e7/beans-resto-coffee-shop.jpg","Beans Resto & Coffee","Kampung Kali, Gajah Mada Jln. Mayjen Sutoyo 944 Kampung Kali, Semarang 50134 Indonesia","4.5 ","$1 - $3","Cafe, Asian, Indonesian","","Lunch, Dinner","Delivery, Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Street Parking, Television, Accepts Mastercard, Accepts Visa, Free Wifi"
"https://media-cdn.tripadvisor.com/media/photo-s/12/ac/88/c6/photo0jpg","Boskaf Coffee","Jl. Much Suyudi No. 28, Semarang Indonesia","5.0 ","","Cafe, International, Asian, Diner, Street Food, Indonesian","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/16/d6/4d/54/photo1jpg","Jejamuran","Km. 11 Rt. 01 Rw. 20 Jl. Magelang no. 53 Niron, Pandowoharjo, Sleman 55512 Indonesia","4.5 ","","Asian, Healthy, Indonesian","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Lunch, Dinner, Brunch, Late Night","Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Validated Parking, Highchairs Available, Wheelchair Accessible, Accepts Credit Cards, Table Service, Live Music"
"","Kopi Lereng Merapi","Jl. Bebeng Palemsari, Umbulharjo, Cangkringan, 55583 Indonesia","4.0 ","","Asian, Indonesian","","",""
